"ID","Name","Surname","Initials","Age","DateOfBirth"
"965","Gorge Carl","Dlt Bongard","G","106","24/6/1916"
"966","Grge Ike","D Hancock","G","103","27/4/1919"
"967","H Carl","Eongard","H","121","22/4/1901"
"968","Hal Larry","E Kassing","H","32","19/6/1990"
"969","I Fred","Hncock Cast","I","92","10/11/1930"
"970","Jhn David","Hrth Boyd","J","99","12/6/1923"
"971","Jack David","Hesch Boyd","J","102","13/11/1920"
"972","Ly Hal","Kssing Ebner","L","114","24/7/1908"
"973","Lrry Hank","Ksing Frick","L","15","21/11/2007"
"974","Adam Aaron","Anderson Aikin","A","59","15/9/1963"
"975","Cl Matthew","Bgard Lawless","C","60","14/2/1962"
"976","Dan Hank","Bs Frick","D","85","1/7/1937"
"977","Dn Matthew","Bers Lawless","D","89","5/9/1933"
"978","Dvid George","Byd Dewalt","D","57","23/10/1965"
"979","Eard Ben","CBateman","E","59","18/5/1963"
"980","Edward John","Con Haworth","E","60","1/4/1962"
"981","Fnk Dan","Deitz Bowers","F","49","16/9/1973"
"982","Ge Alex","D Ashwoon","G","28","13/5/1994"
"983","George Aaron","Dlt Aikin","G","70","17/12/1952"
"984","GDavid","Dewalt Boyd","G","43","12/8/1979"
"985","Hal John","EHaworth","H","61","30/5/1961"
"986","Hal Matthew","Eawless","H","12","17/5/2010"
"987","Hk Dan","Fowers","H","49","26/7/1973"
"988","Hk Monte","Fnutson","H","28","29/9/1994"
"989","Lry George","Kg Dewalt","L","118","13/2/1904"
"990","Lry John","Kssing Haworth","L","37","24/4/1985"
"991","Mnte Carl","Kngard","M","41","15/2/1981"
"992","Me Matthew","KLawless","M","43","22/10/1979"
"993","Am Ike","Arson Hancock","A","33","6/2/1989"
"994","Aex Dan","Aoon Bowers","A","56","30/8/1966"
"995","BMonte","Bateman Knutson","B","117","31/7/1905"
"996","Carl Ben","Bongard Bateman","C","78","2/10/1944"
"997","Cl George","Brd Dewalt","C","25","14/2/1997"
"998","C Monte","Bongard Knutson","C","69","19/2/1953"
"999","Dn Carl","Bs Bongard","D","34","26/7/1988"
"1000","Fk Monte","Dtz Knutson","F","116","26/3/1906"
"1001","Ge John","D Haworth","G","46","6/10/1976"
"1002","HFrank","Ebner Deitz","H","73","24/9/1949"
"1003","Hnk Hal","Frick Ebner","H","12","2/9/2010"
"1004","Hnk Jack","F Hesch","H","24","22/5/1998"
"1005","Jhn Ike","H Hancock","J","54","29/7/1968"
"1006","Jk George","Hesch Dewalt","J","93","20/7/1929"
"1007","Jck John","Hsch Haworth","J","73","7/1/1949"
"1008","Jk Matthew","Hch Lawless","J","92","16/3/1930"
"1009","Mte John","Kn Haworth","M","93","22/8/1929"
"1010","Ben Aaron","Bn Aikin","B","57","22/11/1965"
"1011","C Frank","Bd Deitz","C","38","4/9/1984"
"1012","Eward Matthew","Cn Lawless","E","25","28/6/1997"
"1013","Fd Matthew","Cst Lawless","F","91","2/9/1931"
"1014","Fnk Fred","Ditz Cast","F","50","31/5/1972"
"1015","George George","Dewalt","G","64","3/1/1958"
"1016","Hk George","Fk Dewalt","H","37","22/5/1985"
"1017","I Aaron","Hancock Aikin","I","76","2/6/1946"
"1018","Joe Edward","Hffman Cannon","J","22","24/2/2000"
"1019","Je Frank","Hffman Deitz","J","56","8/10/1966"
"1020","Je Matthew","HLawless","J","71","8/12/1951"
"1021","Ly David","K Boyd","L","87","14/8/1935"
"1022","Aon Carl","Ain Bongard","A","17","29/4/2005"
"1023","Aaron Monte","Aikin Knutson","A","44","24/11/1978"
"1024","Crl John","Baworth","C","108","9/4/1914"
"1025","Fred Larry","Cassing","F","35","8/7/1987"
"1026","GEdward","Dt Cannon","G","104","12/3/1918"
"1027","Hal Monte","Eutson","H","26","5/12/1996"
"1028","Hank John","Faworth","H","21","10/7/2001"
"1029","Jn Carl","HBongard","J","47","7/4/1975"
"1030","Jn Frank","HDeitz","J","70","12/5/1952"
"1031","John Hal","Hh Ebner","J","20","10/7/2002"
"1032","Lrry Jack","Kssing Hesch","L","111","5/6/1911"
"1033","Me Carl","Knutson Bongard","M","110","2/5/1912"
"1034","Adam Fred","Aerson Cast","A","48","3/2/1974"
"1035","Cl Fred","Bard Cast","C","25","25/10/1997"
"1036","C Larry","Bd Kassing","C","29","9/2/1993"
"1037","Erd Matthew","C Lawless","E","119","24/9/1903"
"1038","Fed Ike","Cast Hancock","F","20","25/12/2002"
"1039","Gorge Frank","Dt Deitz","G","39","21/6/1983"
"1040","Ge George","Dalt Dewalt","G","62","5/12/1960"
"1041","Jhn Larry","Haworth Kassing","J","95","13/7/1927"
"1042","Jck Alex","Hesch Ashwoon","J","96","22/11/1926"
"1043","MAaron","K Aikin","M","74","19/4/1948"
"1044","Me Ben","KBateman","M","21","28/7/2001"
"1045","Mte Monte","Kon Knutson","M","54","16/4/1968"
"1046","Aex John","Ahwoon Haworth","A","37","6/7/1985"
"1047","Btthew","Bateman Lawless","B","73","23/2/1949"
"1048","Dan Joe","Bers Hoffman","D","62","28/2/1960"
"1049","Eward Dan","Cn Bowers","E","114","8/4/1908"
"1050","Eard David","Cn Boyd","E","96","5/2/1926"
"1051","Grge Fred","Dwalt Cast","G","72","28/10/1950"
"1052","G Frank","Dlt Deitz","G","40","16/8/1982"
"1053","Gorge Ike","Dewalt Hancock","G","87","30/7/1935"
"1054","G Monte","Dlt Knutson","G","32","7/11/1990"
"1055","Jack Ben","Hch Bateman","J","77","14/7/1945"
"1056","Je Dan","Hoffman Bowers","J","62","19/6/1960"
"1057","M David","Kson Boyd","M","77","14/4/1945"
"1058","Mte Larry","Ktson Kassing","M","116","2/5/1906"
"1059","Aaron Fred","Akin Cast","A","82","1/9/1940"
"1060","Aron Matthew","Aikin Lawless","A","60","30/9/1962"
"1061","Carl Edward","Bard Cannon","C","32","8/11/1990"
"1062","E Carl","Con Bongard","E","40","17/11/1982"
"1063","Ed Joe","C Hoffman","E","104","16/5/1918"
"1064","Frank David","Deitz Boyd","F","88","9/4/1934"
"1065","Fk Jack","Ditz Hesch","F","117","7/10/1905"
"1066","Fnk Matthew","Dz Lawless","F","70","21/9/1952"
"1067","Hal George","EDewalt","H","109","6/2/1913"
"1068","Hnk Carl","Fck Bongard","H","66","24/4/1956"
"1069","Jn Joe","Horth Hoffman","J","87","29/7/1935"
"1070","Joe George","Hman Dewalt","J","69","9/11/1953"
"1071","Lry Fred","King Cast","L","104","6/10/1918"
"1072","Me John","Kon Haworth","M","102","1/12/1920"
"1073","Ax Jack","Ashwoon Hesch","A","44","15/11/1978"
"1074","Aon Ben","Ain Bateman","A","103","8/6/1919"
"1075","Aaron Hank","Aikin Frick","A","78","4/5/1944"
"1076","Aon Ike","AHancock","A","34","24/7/1988"
"1077","Did Jack","Byd Hesch","D","111","30/9/1911"
"1078","Erd Aaron","Cnnon Aikin","E","56","14/5/1966"
"1079","Ed John","CHaworth","E","122","8/9/1900"
"1080","Fank Jack","Deitz Hesch","F","51","18/3/1971"
"1081","George Fred","Dlt Cast","G","98","3/2/1924"
"1082","Me Alex","Khwoon","M","66","29/8/1956"
"1083","Alex George","Aoon Dewalt","A","103","4/8/1919"
"1084","Bn Carl","Bman Bongard","B","55","9/8/1967"
"1085","B Monte","Bman Knutson","B","78","1/5/1944"
"1086","Cl Carl","Bgard Bongard","C","94","8/3/1928"
"1087","EFrank","Cnnon Deitz","E","18","25/12/2004"
"1088","EGeorge","Cewalt","E","34","7/8/1988"
"1089","Fank Edward","Dtz Cannon","F","56","29/10/1966"
"1090","Hl Carl","Ener Bongard","H","21","3/8/2001"
"1091","Jk Ben","Hesch Bateman","J","63","11/10/1959"
"1092","Je Carl","Hn Bongard","J","80","3/9/1942"
"1093","Mte Matthew","Kn Lawless","M","91","7/2/1931"
"1094","Am George","Aerson Dewalt","A","12","5/8/2010"
"1095","Adam Hank","Ason Frick","A","77","7/9/1945"
"1096","Bn Monte","Bn Knutson","B","116","23/11/1906"
"1097","Crl Hank","Bd Frick","C","34","19/9/1988"
"1098","D Edward","Boyd Cannon","D","38","22/6/1984"
"1099","Frank Joe","Dz Hoffman","F","21","8/7/2001"
"1100","G Aaron","Dt Aikin","G","66","12/9/1956"
"1101","Gge Monte","DKnutson","G","43","20/9/1979"
"1102","HAaron","Ebner Aikin","H","119","21/9/1903"
"1103","I Edward","Hcock Cannon","I","112","30/7/1910"
"1104","Lrry Edward","Kassing Cannon","L","65","5/10/1957"
"1105","Monte Monte","KKnutson","M","15","20/5/2007"
"1106","Alex Frank","Awoon Deitz","A","77","14/7/1945"
"1107","Aron Fred","A Cast","A","80","28/8/1942"
"1108","Dn Frank","Bwers Deitz","D","22","10/6/2000"
"1109","Dvid Monte","Bd Knutson","D","16","30/12/2006"
"1110","E Aaron","Cannon Aikin","E","37","6/10/1985"
"1111","Erd Monte","Cutson","E","84","3/8/1938"
"1112","Hl Monte","Er Knutson","H","111","28/2/1911"
"1113","Jck Hal","Hsch Ebner","J","52","26/8/1970"
"1114","An Joe","Aikin Hoffman","A","30","11/9/1992"
"1115","B Frank","Bateman Deitz","B","90","6/9/1932"
"1116","Fk Edward","Dz Cannon","F","99","19/9/1923"
"1117","Frank Hal","Dz Ebner","F","72","4/2/1950"
"1118","Fnk Jack","Dz Hesch","F","84","16/7/1938"
"1119","Grge Alex","Dt Ashwoon","G","70","6/5/1952"
"1120","Lrry George","Ksing Dewalt","L","73","26/2/1949"
"1121","L Monte","Kutson","L","86","15/1/1936"
"1122","Mnte Jack","Kson Hesch","M","71","18/3/1951"
"1123","Aon Hal","Akin Ebner","A","71","15/9/1951"
"1124","Ben David","Beman Boyd","B","82","13/9/1940"
"1125","B Edward","BCannon","B","93","1/8/1929"
"1126","Cl Dan","Bard Bowers","C","63","7/2/1959"
"1127","David Hank","Boyd Frick","D","111","2/8/1911"
"1128","Ed Frank","CDeitz","E","107","25/11/1915"
"1129","E Jack","Con Hesch","E","116","23/6/1906"
"1130","Edward Joe","Cn Hoffman","E","97","16/5/1925"
"1131","Grge Edward","Dwalt Cannon","G","106","3/7/1916"
"1132","Ike Matthew","Hancock Lawless","I","41","8/2/1981"
"1133","Jack Ike","Hsch Hancock","J","48","11/3/1974"
"1134","L Larry","Kssing Kassing","L","91","14/10/1931"
"1135","Fred Dan","Cst Bowers","F","115","5/8/1907"
"1136","Fed Larry","Cast Kassing","F","92","31/7/1930"
"1137","Gorge Dan","Dalt Bowers","G","30","11/9/1992"
"1138","Grge David","Dt Boyd","G","49","23/1/1973"
"1139","Je George","Hoffman Dewalt","J","90","2/5/1932"
"1140","Mnte Hank","Knutson Frick","M","68","17/8/1954"
"1141","Did Alex","Byd Ashwoon","D","92","9/1/1930"
"1142","Eward Hal","C Ebner","E","29","7/4/1993"
"1143","Eard Joe","Coffman","E","66","1/4/1956"
"1144","Frank Ike","DHancock","F","100","6/4/1922"
"1145","Jn George","Horth Dewalt","J","84","28/2/1938"
"1146","Lrry Matthew","Kng Lawless","L","30","10/2/1992"
"1147","B Alex","Beman Ashwoon","B","45","27/10/1977"
"1148","Fnk Larry","Dz Kassing","F","23","7/5/1999"
"1149","Gge Frank","D Deitz","G","57","2/5/1965"
"1150","Hl Ben","Eer Bateman","H","40","24/10/1982"
"1151","Hnk Ben","F Bateman","H","100","2/10/1922"
"1152","Jck George","Hewalt","J","85","6/6/1937"
"1153","Am Fred","Aon Cast","A","84","27/2/1938"
"1154","An Carl","Akin Bongard","A","92","20/12/1930"
"1155","Carl Larry","Bassing","C","84","8/6/1938"
"1156","Grge John","Dworth","G","73","5/1/1949"
"1157","Ge Joe","Dalt Hoffman","G","61","22/5/1961"
"1158","Joe Alex","Hman Ashwoon","J","18","14/1/2004"
"1159","M Aaron","Kson Aikin","M","41","19/11/1981"
"1160","Monte Larry","Knutson Kassing","M","65","13/12/1957"
"1161","Adam Joe","Aerson Hoffman","A","88","31/10/1934"
"1162","An David","Aikin Boyd","A","120","30/7/1902"
"1163","Ed Ike","CHancock","E","86","14/11/1936"
"1164","Fred Alex","Cst Ashwoon","F","59","22/8/1963"
"1165","George Ike","Dlt Hancock","G","57","14/2/1965"
"1166","Ike Fred","Hck Cast","I","32","5/12/1990"
"1167","I Hank","Hncock Frick","I","30","20/1/1992"
"1168","LDavid","Kg Boyd","L","87","17/3/1935"
"1169","Adam Carl","Anderson Bongard","A","83","4/3/1939"
"1170","Fed Monte","Cst Knutson","F","25","13/1/1997"
"1171","Fk Hal","Deitz Ebner","F","41","19/10/1981"
"1172","Monte Hank","Ktson Frick","M","96","6/8/1926"
"1173","Aon Matthew","Akin Lawless","A","113","4/7/1909"
"1174","DDavid","Boyd Boyd","D","52","20/2/1970"
"1175","Eward Hank","Cannon Frick","E","41","6/12/1981"
"1176","Me Hal","Ktson Ebner","M","42","28/10/1980"
"1177","Am Dan","Aderson Bowers","A","104","3/1/1918"
"1178","Aaron Joe","Akin Hoffman","A","109","24/3/1913"
"1179","Ben Matthew","Ban Lawless","B","28","24/6/1994"
"1180","Carl David","Bngard Boyd","C","104","9/12/1918"
"1181","Crl Ike","B Hancock","C","41","30/8/1981"
"1182","Fred David","Cst Boyd","F","53","24/1/1969"
"1183","Hank David","Fick Boyd","H","105","27/7/1917"
"1184","Jhn John","Hrth Haworth","J","63","4/4/1959"
"1185","Aam Carl","Arson Bongard","A","101","8/7/1921"
"1186","Alex David","Aoon Boyd","A","29","25/10/1993"
"1187","Alex Jack","AHesch","A","117","18/2/1905"
"1188","Dan Aaron","Bwers Aikin","D","92","25/4/1930"
"1189","Eard Carl","Cnon Bongard","E","30","15/8/1992"
"1190","ILarry","Hcock Kassing","I","79","7/3/1943"
"1191","Mnte Larry","Kon Kassing","M","80","25/12/1942"
"1192","Fd Larry","Cssing","F","46","12/9/1976"
"1193","Frank John","Ditz Haworth","F","20","16/10/2002"
"1194","G John","DHaworth","G","112","17/11/1910"
"1195","Am Jack","Aerson Hesch","A","79","21/2/1943"
"1196","Crl David","Bgard Boyd","C","90","24/8/1932"
"1197","Dn Hank","Bers Frick","D","62","16/12/1960"
"1198","Ed Jack","Cnon Hesch","E","25","16/8/1997"
"1199","Erd Larry","Cnnon Kassing","E","93","9/3/1929"
"1200","Jack Larry","HKassing","J","21","25/2/2001"
"1201","Lrry Ike","KHancock","L","14","8/9/2008"
"1202","Ed Alex","Cannon Ashwoon","E","45","20/7/1977"
"1203","E John","Cnnon Haworth","E","115","7/11/1907"
"1204","MMonte","Knutson Knutson","M","46","29/7/1976"
"1205","Aam Edward","Anderson Cannon","A","90","20/7/1932"
"1206","Aex Edward","Aon Cannon","A","66","6/1/1956"
"1207","Aon George","A Dewalt","A","68","26/3/1954"
"1208","CDavid","Bard Boyd","C","35","6/2/1987"
"1209","IMonte","Hk Knutson","I","85","30/7/1937"
"1210","IMatthew","Hk Lawless","I","16","23/4/2006"
"1211","LAaron","Kssing Aikin","L","77","20/6/1945"
"1212","Latthew","K Lawless","L","34","20/8/1988"
"1213","Aaron Edward","An Cannon","A","60","8/1/1962"
"1214","Dn Jack","Bwers Hesch","D","20","3/12/2002"
"1215","G Alex","Dshwoon","G","40","30/10/1982"
"1216","Hnk Matthew","Fawless","H","32","5/10/1990"
"1217","Mte Jack","Ktson Hesch","M","90","7/7/1932"
"1218","Am David","Arson Boyd","A","69","13/7/1953"
"1219","Adam George","Aderson Dewalt","A","52","23/7/1970"
"1220","John Monte","Hrth Knutson","J","50","9/5/1972"
"1221","Dan Edward","Bs Cannon","D","56","20/8/1966"
"1222","Edward Aaron","Con Aikin","E","14","25/7/2008"
"1223","George Ben","Dwalt Bateman","G","97","2/2/1925"
"1224","Je Edward","Hoffman Cannon","J","57","20/7/1965"
"1225","Fed Edward","Cst Cannon","F","30","14/1/1992"
"1226","Hnk Fred","Fck Cast","H","13","20/2/2009"
"1227","Dvid John","Byd Haworth","D","105","11/6/1917"
"1228","Hank Edward","Fck Cannon","H","54","10/1/1968"
"1229","Mnte Dan","K Bowers","M","40","31/10/1982"
"1230","Am Alex","Arson Ashwoon","A","100","17/5/1922"
"1231","Did Hal","Boyd Ebner","D","102","3/7/1920"
"1232","Gorge Aaron","Dalt Aikin","G","36","10/1/1986"
"1233","Jck Joe","Hesch Hoffman","J","103","17/8/1919"
"1234","L Carl","King Bongard","L","75","26/5/1947"
"1235","Bn Hank","Bman Frick","B","95","26/2/1927"
"1236","E Hank","Con Frick","E","40","15/10/1982"
"1237","Frank Carl","Dz Bongard","F","110","8/8/1912"
"1238","Jack George","Hh Dewalt","J","97","1/5/1925"
"1239","Ax Hank","Ashwoon Frick","A","59","11/3/1963"
"1240","Ed Ben","C Bateman","E","97","2/8/1925"
"1241","George Dan","Dewalt Bowers","G","66","22/6/1956"
"1242","Jck Ike","Hh Hancock","J","48","14/4/1974"
"1243","Ly Frank","Kg Deitz","L","25","3/3/1997"
"1244","An Hank","Ain Frick","A","103","17/2/1919"
"1245","Fk Matthew","Deitz Lawless","F","92","15/2/1930"
"1246","Crl Fred","Brd Cast","C","110","11/4/1912"
"1247","F Fred","Dtz Cast","F","118","28/1/1904"
"1248","Frank Larry","Dssing","F","78","9/8/1944"
"1249","Jhn Alex","Haworth Ashwoon","J","86","27/9/1936"
"1250","Jack Matthew","Hh Lawless","J","23","8/8/1999"
"1251","Joe Aaron","Hffman Aikin","J","65","31/12/1957"
"1252","B George","Bman Dewalt","B","103","15/11/1919"
"1253","G Carl","Dwalt Bongard","G","119","20/4/1903"
"1254","Hk Alex","Fk Ashwoon","H","92","2/11/1930"
"1255","M John","Knutson Haworth","M","35","18/9/1987"
"1256","Am Carl","Aon Bongard","A","113","6/2/1909"
"1257","Jack Dan","Hch Bowers","J","102","31/7/1920"
"1258","Jack John","Hesch Haworth","J","31","30/12/1991"
"1259","FMonte","Cnutson","F","88","11/3/1934"
"1260","Fank Frank","Ditz Deitz","F","70","26/12/1952"
"1261","Adam Ben","Aon Bateman","A","38","16/9/1984"
"1262","Carl George","Bngard Dewalt","C","20","9/3/2002"
"1263","Ed Matthew","Cnnon Lawless","E","50","12/2/1972"
"1264","Fank Hank","Ditz Frick","F","37","19/9/1985"
"1265","G Hank","Dt Frick","G","29","18/7/1993"
"1266","Ie David","Hancock Boyd","I","86","23/8/1936"
"1267","Ly Edward","Kg Cannon","L","62","30/12/1960"
"1268","Gorge Jack","Dewalt Hesch","G","95","18/1/1927"
"1269","Ben Fred","Bateman Cast","B","41","18/10/1981"
"1270","Ben Larry","Beman Kassing","B","60","23/10/1962"
"1271","Eard George","Cnnon Dewalt","E","99","1/2/1923"
"1272","Fd David","Cast Boyd","F","42","5/6/1980"
"1273","Ldward","Kssing Cannon","L","15","25/8/2007"
"1274","Alex Fred","Awoon Cast","A","86","15/9/1936"
"1275","Alex John","Aoon Haworth","A","28","19/3/1994"
"1276","Jhn Fred","Hrth Cast","J","98","13/6/1924"
"1277","Crl Ben","Bd Bateman","C","19","27/9/2003"
"1278","Dan Ike","Brs Hancock","D","73","17/5/1949"
"1279","Did Aaron","Byd Aikin","D","96","17/10/1926"
"1280","Fred Hal","Ct Ebner","F","119","18/4/1903"
"1281","Jn Larry","Hworth Kassing","J","95","9/12/1927"
"1282","Monte Fred","Knutson Cast","M","89","3/6/1933"
"1283","Monte Joe","K Hoffman","M","85","17/3/1937"
"1284","Am Hal","Ason Ebner","A","110","21/7/1912"
"1285","Ed Fred","Con Cast","E","54","24/3/1968"
"1286","F John","Cast Haworth","F","85","26/12/1937"
"1287","Jck Larry","Hch Kassing","J","14","3/12/2008"
"1288","Aaron Matthew","Ain Lawless","A","104","3/6/1918"
"1289","Dd Ike","Bancock","D","66","16/3/1956"
"1290","Fred Matthew","CLawless","F","34","30/6/1988"
"1291","Hank Hank","Frick Frick","H","37","13/1/1985"
"1292","D David","Bwers Boyd","D","92","13/8/1930"
"1293","Fnk Ike","Ditz Hancock","F","44","7/10/1978"
"1294","Joe Matthew","Han Lawless","J","43","28/2/1979"
"1295","Larry Hank","Kng Frick","L","101","29/12/1921"
"1296","Lry Monte","Ksing Knutson","L","55","13/8/1967"
"1297","Edward George","Cn Dewalt","E","67","19/12/1955"
"1298","Fd Edward","Cast Cannon","F","76","2/9/1946"
"1299","Gdward","Dewalt Cannon","G","99","16/2/1923"
"1300","Mte Hal","Knutson Ebner","M","88","6/10/1934"
"1301","Fred John","Cst Haworth","F","94","18/2/1928"
"1302","Larry Aaron","Kg Aikin","L","75","21/9/1947"
"1303","John George","Hworth Dewalt","J","13","13/12/2009"
"1304","Aaron Frank","Aikin Deitz","A","53","6/6/1969"
"1305","Crl Monte","Bngard Knutson","C","87","6/4/1935"
"1306","Gorge Ben","Dewalt Bateman","G","114","9/10/1908"
"1307","Jack Jack","H Hesch","J","79","5/8/1943"
"1308","Ly Aaron","Kassing Aikin","L","96","20/2/1926"
"1309","Fd George","Ct Dewalt","F","97","8/7/1925"
"1310","Me Hank","Kutson Frick","M","20","16/8/2002"
"1311","An Monte","Ain Knutson","A","85","4/8/1937"
"1312","Jck Dan","Hsch Bowers","J","122","11/4/1900"
"1313","Aron Hal","Aikin Ebner","A","82","16/1/1940"
"1314","Dd Carl","Bd Bongard","D","75","27/7/1947"
"1315","Erd Dan","Cnnon Bowers","E","90","29/9/1932"
"1316","Fank John","Daworth","F","82","21/12/1940"
"1317","Fank Larry","Ditz Kassing","F","12","12/2/2010"
"1318","Crl Larry","Bgard Kassing","C","39","22/5/1983"
"1319","Eard Aaron","Cn Aikin","E","62","21/2/1960"
"1320","Gge Joe","Dlt Hoffman","G","26","24/1/1996"
"1321","Jk Hal","Hch Ebner","J","63","20/9/1959"
"1322","Jk Joe","Hch Hoffman","J","17","29/4/2005"
"1323","Larry Jack","King Hesch","L","122","11/12/1900"
"1324","Mnte Alex","Knutson Ashwoon","M","74","19/2/1948"
"1325","Eard Fred","Cn Cast","E","41","24/1/1981"
"1326","Mnte Aaron","Kn Aikin","M","107","12/4/1915"
"1327","Hk Matthew","FLawless","H","36","21/11/1986"
"1328","Ie Monte","Hcock Knutson","I","32","19/5/1990"
"1329","Cl Frank","Brd Deitz","C","92","15/9/1930"
"1330","David Dan","Boyd Bowers","D","26","24/2/1996"
"1331","Eard Jack","Cannon Hesch","E","75","11/8/1947"
"1332","Ly Fred","Kng Cast","L","67","26/5/1955"
"1333","Ge Ike","Dncock","G","58","1/9/1964"
"1334","Ike Carl","Hk Bongard","I","38","1/12/1984"
"1335","Aam Aaron","Ason Aikin","A","65","22/7/1957"
"1336","Cl Hank","Bongard Frick","C","38","17/9/1984"
"1337","Eward Ike","Cn Hancock","E","68","28/1/1954"
"1338","Aron Ike","Aikin Hancock","A","67","22/6/1955"
"1339","L John","Kg Haworth","L","111","6/7/1911"
"1340","Monte Jack","Knutson Hesch","M","112","5/12/1910"
"1341","Ed George","Con Dewalt","E","39","7/8/1983"
"1342","Gorge Monte","Dalt Knutson","G","105","1/6/1917"
"1343","Eward Monte","Cnon Knutson","E","76","22/10/1946"
"1344","Jk Fred","Hsch Cast","J","102","13/9/1920"
"1345","Aaron George","Akin Dewalt","A","45","18/7/1977"
"1346","Edward Carl","Cnnon Bongard","E","61","30/6/1961"
"1347","Aex Joe","Aon Hoffman","A","26","7/11/1996"
"1348","Hnk George","Fewalt","H","33","26/4/1989"
"1349","Ly Hank","King Frick","L","98","10/7/1924"
"1350","Ed Edward","Cnon Cannon","E","35","2/7/1987"
"1351","MDavid","Knutson Boyd","M","31","19/10/1991"
"1352","Ceorge","Bard Dewalt","C","41","28/10/1981"
"1353","Carl Frank","Bongard Deitz","C","86","28/2/1936"
"1354","Ge Hal","Dewalt Ebner","G","118","20/12/1904"
"1355","Jck Aaron","Hesch Aikin","J","67","3/12/1955"
"1356","Fnk George","Ditz Dewalt","F","119","24/5/1903"
"1357","F Aaron","Cast Aikin","F","84","27/9/1938"
"1358","John Larry","Hth Kassing","J","65","15/5/1957"
"1359","Aron Monte","AKnutson","A","76","4/4/1946"
"1360","GMonte","Dnutson","G","79","24/9/1943"
"1361","Aaron Carl","Aikin Bongard","A","120","21/9/1902"
"1362","Frank Monte","Ditz Knutson","F","113","6/8/1909"
"1363","Ben George","Beman Dewalt","B","121","16/8/1901"
"1364","Aex Fred","An Cast","A","109","16/6/1913"
"1365","Ie Matthew","Hcock Lawless","I","41","1/7/1981"
"1366","L George","KDewalt","L","84","20/6/1938"
"1367","Eard Matthew","Cnon Lawless","E","82","1/2/1940"
"1368","David Monte","Byd Knutson","D","51","24/5/1971"
"1369","Jhn Hank","Hrth Frick","J","41","1/8/1981"
"1370","Fnk Edward","Ditz Cannon","F","110","9/6/1912"
"1371","BMatthew","Bteman Lawless","B","104","2/11/1918"
"1372","M Matthew","Kson Lawless","M","101","3/3/1921"
"1373","Dd Hal","BEbner","D","83","23/8/1939"
"1374","Cl David","Bongard Boyd","C","60","30/4/1962"
"1375","Aon Larry","Ain Kassing","A","70","30/4/1952"
"1376","Fed Frank","Ct Deitz","F","76","27/2/1946"
"1377","Aron Alex","Ain Ashwoon","A","26","22/6/1996"
"1378","Bdward","Beman Cannon","B","118","24/5/1904"
"1379","CMatthew","Brd Lawless","C","99","14/8/1923"
"1380","IFrank","Hock Deitz","I","52","12/4/1970"
"1381","David Carl","Boyd Bongard","D","107","8/9/1915"
"1382","Edward Monte","Cn Knutson","E","19","8/7/2003"
"1383","Monte Aaron","Ktson Aikin","M","43","4/10/1979"
"1384","CAaron","Bongard Aikin","C","65","18/3/1957"
"1385","Erd Carl","C Bongard","E","87","20/5/1935"
"1386","L David","King Boyd","L","84","23/10/1938"
"1387","Mte Frank","Kn Deitz","M","83","13/12/1939"
"1388","Monte Alex","Kutson Ashwoon","M","15","5/12/2007"
"1389","Jn David","Horth Boyd","J","28","11/8/1994"
"1390","Gge Carl","Dt Bongard","G","114","19/7/1908"
"1391","Grge Hank","Dewalt Frick","G","71","20/2/1951"
"1392","Aon Fred","Aikin Cast","A","36","12/2/1986"
"1393","Aron George","Ain Dewalt","A","80","16/3/1942"
"1394","I Matthew","Hncock Lawless","I","87","6/2/1935"
"1395","Erd Alex","Cnnon Ashwoon","E","30","19/8/1992"
"1396","Aron Jack","Akin Hesch","A","27","18/1/1995"
"1397","Aron Larry","Aikin Kassing","A","69","28/3/1953"
"1398","Did Ben","Boyd Bateman","D","114","18/4/1908"
"1399","Monte George","Kson Dewalt","M","22","11/3/2000"
"1400","Carl Matthew","Bongard Lawless","C","38","9/7/1984"
"1401","Fd John","Ct Haworth","F","83","7/7/1939"
"1402","MMatthew","Ktson Lawless","M","13","13/9/2009"
"1403","Aex Ben","Aoon Bateman","A","120","25/1/1902"
"1404","Alex Aaron","Ahwoon Aikin","A","49","24/3/1973"
"1405","Aron Joe","A Hoffman","A","24","5/4/1998"
"1406","Aex Hank","Ahwoon Frick","A","66","28/3/1956"
"1407","Ge David","Dalt Boyd","G","85","23/8/1937"
"1408","Aaron Alex","Aikin Ashwoon","A","70","16/4/1952"
"1409","Frank Alex","Dtz Ashwoon","F","35","3/8/1987"
"1410","Alex Matthew","Awoon Lawless","A","26","22/3/1996"
"1411","Ctthew","Bard Lawless","C","21","1/2/2001"
"1412","Ge Larry","Dassing","G","79","28/10/1943"
"1413","ELarry","Con Kassing","E","17","30/9/2005"
"1414","C Edward","Bongard Cannon","C","112","3/2/1910"
"1415","GFrank","Dalt Deitz","G","88","4/4/1934"
"1416","Aron Edward","Aikin Cannon","A","56","30/4/1966"
"1417","Edward Dan","Con Bowers","E","13","21/3/2009"
"1418","L Edward","Ksing Cannon","L","91","18/6/1931"
"1419","Gge Jack","Dt Hesch","G","22","27/9/2000"
"1420","Jk John","Hch Haworth","J","33","13/12/1989"
"1421","Did Dan","Byd Bowers","D","106","17/8/1916"
"1422","David John","Boyd Haworth","D","101","4/3/1921"
